smiles
OS(C)(=O) =O .Cl CO)CO) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 .Cl c3ccc( [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 OC(=O) CCCC c4 [nH] 1 =C 2 [C@H]1 C) C(=O)N C2 CC N C( C O) CO C( C [C@@H](O) C1 CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl .Cl .Cl .Cl .Cl Nc1ccc( I) cc1 .Cl .Cl .Cl 1 I ] (C) [C@@H]( C(C)C) cs c(C) [C@@H]1 OC(=O) CCCC cc1 .Cl .Cl c3ccc( F) c(=O) [nH] 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 F Cl) O C2 =O) C(=O)N c2cc1OCC 1( N )CC 1 =C 2 ] (C) (N) ( c4ccc( Cl) O 1 .Cl .Cl CCC ) c1 F) C(=O)O [C@@H] 4C) n c32) CC1 ( c2ccc( Cl) O 1 .Cl CC(=O)O)
[O-]) C( Cl) Cl. [N a +] . [ L i +] . Cl c1ccc( F) CC1 CC1 ( (=O) n2 C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H]3 [C@@H](O) C [C@]2(C) C(=O) CO 1) [C@H]1 c1cccc( Cl) c1 F [C@@] (C) (C)C) S [C@H](CO) NC(=O)C - 1 .Cl F C(F)(F) F =O) c3ccccn3) s2) C(C)C) 6 ) cn 1 I ] ) c1 c(Cl) cn 1 .Cl /C=C/ c3ccccn3) s2) NC(=O)C C2 =O) c1 F [C@@H]2O 3 )CC 1 .Cl .Cl [N a +] (=O) [O-] C C[C@H](O) CN 2 [C@H](OC(C)=O) C [C@@H]3 [C@@H](OC) [C@@H]( 1 I ]
[O-] [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C /C=C/ 1C [C@@H]2CC CN C 4) cc3) n c12 CCC(=O)N C1 =O 2CCCC 1 CC [C@@H]1 2) CC =C 2 C(=O) [C@@H]2CC CN 2 C(=O) [C@@H]( N )CC CNC(=N)N ) cc1 . CS(=O)(=O) O 1 . CS(=O)(=O) O [C@H]3 c2ccc( [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 CCCC1 =O .Cl c3ccccc3) C(=O)O C2 CC [C@@H]1 c1ccc( Cl) O 1 I ] (C) O 1 =C . CS(=O)(=O) O 1 ( c4ccc( Cl) O c3ccc( C(=O)N[C@@H](CCC(=O)O) C(=O)O) [C@H]3 CC [C@@H]1 c1ccc( F) cc2 - c1ccc( F) cc 6 - 1 .Cl c4 ncc( (N) ( C O) cc3 4) CC(=O) C=C 4 (C) [C@H] 6 - 1 =C . CS(=O)(=O) O 1 C2 CC OCC 3) C2 CC OCC 3) C(=O)N [C@H](CO)
c2ccc(N c3cc( N(C) C(=O)N c4 c( Cl)c( OC) cc(OC) c4 Cl) ncn 3) cc2) CC1 ( C1 CCC(=O)N NC(=O) [C@@H]2 C [C@@H](O) CN 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) cn 2) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 CCN 2 [C@H](OC(C)=O) C [C@@H]2 C1 =O .Cl .Cl .Cl .Cl 1 .Cl .Cl c4 ncc( Cl) O 1 .Cl .Cl F Cl) cc( Cl) cc( Cl) cn 1 .Cl F F Cl) cn 1 .Cl .Cl .Cl .Cl c4 ncc( F c(C) cn 2) CC [C@@H]1 [C@@H]2 C1 =O .Cl 3) c(=O) [nH] 1 I ] ) cn 1 .Cl c4 Cl) ncn c2ccccc2 1 [C@@H]2 C1 =O .Cl Nc1ccc( Cl) ncn 3)
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 Br) cnc1 [N +] (=O) [O-] C 3) n1 2 C(=O) CC [C@@H]1 2) CC =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@H]3 O[C@H]( CC [C@@H]1 c1 Cl) O 1 .Cl [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( F) cc2) CC1 ( c2ccc( Cl) c1 F) cc 6 F) cc 6 =O) c1 =O .Cl [C@H](NC(=O) [C@H](N) 1 .Cl .Cl .Cl .Cl c4 c(C) n1) [C@@H]1C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 OC(=O) CCCC NC(=O) F c [ L i ] (C) [C@@H]( C(C)C) cs 1 I ] (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN 2 C(=O) CO C)
ncn2 c1 =O =O .Cl .Cl .Cl .Cl 3) cc2) cc1 N(C) CCN(C) C 3) n1 2 [C@H]1 )CC 1 .Cl .Cl .Cl 4 N )C(=O)N C(=O) CO C( CC(=O)O) [C@@H]( CC(C) C) C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 I ] (C) [C@@]3 (F) c4) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl .Cl .Cl .Cl .Cl [C@H](NC(=O) [C@H](N) c4 c( OC(C)C) cc (C) [C@H]3 [C@@H](O) C O 1 .Cl [N a +] (=O) [O-] C [C@@H](C) C(=O) CO C( CC(=O)O) [C@@H]( C(C)C) cs 1 I ] (C) [C@@H]( CC(C) C) OCO 3 )CC 1 I ] (C) [C@@H]( CCC(=O)N CCCC [C@H]( C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN CC1 (C) [C@@H]( cn 1 . CS(=O)(=O) O [C@H]3 [C@@H](O) C [C@]2(C) [C@@H]( C(C)C) n c(C) cccc n n2 C
\ C(=O)O)C(C)(C) CC C1 =O .Cl c4ccc( Cl) n2) c(OC) cc1 N(C) CCN(C) C 3) n1 1 I CC [C@@H]1 2) CC =C 3 c2) cn 1 (CCCl)N =O) C(=O)N[C@@H](CC (N) [C@@H]1 c1ccc( F) cc1 . CS(=O)(=O) O 1 . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) [C@@]3 (F) (F) c4) n 4) cc23)c1 .Cl c3ccc( F) cn 1 .Cl 4 CCOC [C@@H] 4 O 1 [C@@H]1 2) 6 F) cc 6 F) c1ccc( F) c1 c(C) n1 2 [C@H](OC(C)=O) C [C@H]5 O 3) C2 CC OCC 1) [C@H]1 c1cccc( Cl) O 1 .Cl c4 ncc( c3ccccn3) cs 1 .Cl .Cl c2ccc( Cl) O 1 .Cl CCN(C) CC4) cc 6 cn 1 =C . CS(=O)(=O) O [C@H]3 c4
ncn2 c1 =O =O .Cl .Cl .Cl .Cl cc(F) cc(F)c5 ) c(- c1cccc( Cl) c1 ) cc (=O) n2 C 2) CC =C 2 C(=O) C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O c2ccccc2 [nH] 1 . [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 CCC( [C@H]3 O[C@H]( CC CN1 CC1 ( c2ccc( Cl) O 1 .Cl c6 ccc( F) cn 1 .Cl .Cl .Cl .Cl n1 2 C(=O) CO 1 .Cl F C(F)(F) F c1 3) n2) cn 1 .Cl 4 C [C@@H]3 C(=O)O) 4) c(Cl) cn 1 I ] (C) [C@@H]( CCCC CCC NC(=O)[C@H](Cc4ccccc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) [C@H]( [C@@H]1 c1n c(- c2ccc( Cl) O c2ccc( Cl) c1 F) cc 6 cn 2) ncnc2cc1OCCCN1 CCCC1 =O .Cl .Cl c4
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C 2 NC(=O)[C@H](Cc4ccccc4) NC(=O)[C@H](Cc4ccccc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4)c4ccccc4) C(C) n1 2 1C 1 CC C1 =C( C1 =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 1 3 )CC 1 .Cl c s2) cs 1 =C 2 C(=O) CO C( c2ccc( Cl) c1 =O .Cl F )N [C@@H]1 OC(=O) CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@@H]( C(C)C) cs c(C) c s2) n (C) [C@@H]( C(C)C) c3 c2ccc( Cl) cc2 4 (C) [C@@H]( -c2cc c3cccc ( ccc( F) cc 6 F) cc2) CC1 ( C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 OC(=O) C( C 3) C2 CC Br) cn 1 =C 2 C(=O) CO 1 ( C [C@@H]3 C(C)C) n c32) CC1 ( c2ccc( Cl) O 1
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C [C@@H]3 c3 cc(F) cc n 4) cc23)c1 F O 1 I ] (C) (N) ( c6 ccc( F) cc 6 F) CNC(=N)N ) cc4)CC3) cc2) c1 =O .Cl ) C1 CC OCC 3) c2 3 )CC 1 2 O 1 .Cl s2) C(C)C) O 1 OC(=O) CCCC NC(=O) c( Cl)c( Cl) c1 =O .Cl 3) C2 CC CNC(=N)N ) cn 1 .Cl .Cl .Cl CCN(C) CC4) 4) CC(=O) N(C) [C@@H]( Cl) c1 3) C2 CC c4 c3ccc( F) CCC c32) CC1 ( c2ccc( Cl) cc( Br) cnc1 N) c1 F) N )CC 1 CCC( [C@H]3 [C@@H](O) C [C@]2(C) C(=O) OCC 3) n1 2 C(=O) CO 1 CC1 ( - c1ccc( Cl) c1 ) c1 F CCC [C@H]1 c1ccc( F) [C@H]1 c1cccc(
OS(C)(=O) =O .Cl CC(=O)O) C(=O)O [C@H](CO) [C@@H](O)[C@H](O) [C@H]3 c4 c2ccccc2 [nH] 1 .Cl c3 C) nc2 1 .Cl CC1 ( CC(=O)O) C(=O)O C(C) O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) C=C 1 .Cl .Cl F c(C) cccc 1C 1 c4) n3) nc2 )CC 1 .Cl .Cl .Cl 1 I ] (C) CC(=O) C=C 1 I ] ) c1 3) C2 CC OCC 3) c2 )CC 1 .Cl C2) c2ccccc2 1 I ] (C) CC(=O) N(C) [C@@H]( C(C)C) cs 1 =C 2 (O) O 1 CCC( [C@H]3 C(=O)N (C) (N) =O) c1 F) c1 F) CC1 ( C [C@]2(C) [C@@]1 (O)
